# Assembly Statistics Report
# Assembly name:  BCSIR_ Awel_1.0
# Organism name:  Aspergillus welwitschiae (ascomycete fungi)
# Infraspecific name:  strain=BCSIR_imrd1
# Taxid:          1341132
# BioSample:      SAMN32866809
# BioProject:     PRJNA926321
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2023-05-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JARFXW01
# Assembly method: MaSuRCA v. 4.0.8
# Expected final version: yes
# Genome coverage: 90.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_030015405.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030015505.1		Primary Assembly
#
# Statistic Types
# Statistic	Description
# component-count	Number of unique components
# contig-L50	Number of contigs that are longer than, or equal to, the N50 length
# contig-N50	Contig length at which 50% of total bases in assembly are in contigs of that length or greater
# contig-count	Number of contigs
# gc-perc	gc-count/atgc-count as percentage
# molecule-count	Number of chromosomes and plasmids in full assembly
# region-count	Number of genomic regions defined in full assembly
# scaffold-L50	Number of scaffolds that are longer than, or equal to, the N50 length
# scaffold-N50	Scaffold length at which 50% of total bases in assembly are in scaffolds of that length or greater
# scaffold-N75	Scaffold length at which 75% of total bases in assembly are in contigs of that length or greater
# scaffold-N90	scaffold length at which 90% of total bases in assembly are in contigs of that length or greater
# scaffold-count	Number of scaffolds
# spanned-gaps	Number of spanned gaps. Spanned gaps are gaps within a scaffold
# top-level-count	Number of chromosomes or plasmids, unplaced/unlocalized scaffolds, alt-loci scaffolds, and patch scaffolds
# total-gap-length	Total length of gaps
# total-length	Total sequence length including bases and gaps
# ungapped-length	Total length excluding gaps
# unspanned-gaps	Number of unspanned gaps. Unspanned gaps are gaps between scaffolds
#
# Sequence-type Description
# all	statistic covers all the sequences in the unit-assembly and molecule(s) specified.
# molecule	statistic covers the specified molecule. molecule-name and molecule-type/loc will be given.
# unlocalized	statistic covers the sequences assigned to a molecule but with no position. molecule-name and molecule-type/loc will be given.
# unplaced	statistic covers the sequences not assigned to any molecule in the assembly.
#
# unit-name	molecule-name	molecule-type/loc	sequence-type	statistic	value
all	all	all	all	total-length	37795174
all	all	all	all	spanned-gaps	464
all	all	all	all	unspanned-gaps	0
all	all	all	all	region-count	0
all	all	all	all	scaffold-count	340
all	all	all	all	scaffold-N50	5092470
all	all	all	all	scaffold-L50	3
all	all	all	all	scaffold-N75	4333929
all	all	all	all	scaffold-N90	1231058
all	all	all	all	contig-count	804
all	all	all	all	contig-N50	164094
all	all	all	all	contig-L50	71
all	all	all	all	total-gap-length	46400
all	all	all	all	molecule-count	8
all	all	all	all	top-level-count	340
all	all	all	all	component-count	340
all	all	all	all	gc-perc	49.5
Primary Assembly	all	all	all	total-length	37795174
Primary Assembly	all	all	all	ungapped-length	37748774
Primary Assembly	all	all	all	scaffold-count	340
Primary Assembly	all	all	all	scaffold-N50	5092470
Primary Assembly	all	all	all	spanned-gaps	464
Primary Assembly	all	all	all	unspanned-gaps	0
Primary Assembly	all	all	all	gc-perc	49.5
Primary Assembly	all	all	assembled-molecule	total-length	34359522
Primary Assembly	all	all	assembled-molecule	ungapped-length	34326122
Primary Assembly	all	all	assembled-molecule	scaffold-count	8
Primary Assembly	all	all	assembled-molecule	scaffold-N50	5092470
Primary Assembly	all	all	assembled-molecule	spanned-gaps	334
Primary Assembly	all	all	assembled-molecule	unspanned-gaps	0
Primary Assembly	all	all	assembled-molecule	gc-perc	49.5
Primary Assembly	all	all	unlocalized-scaffold	total-length	0
Primary Assembly	all	all	unlocalized-scaffold	ungapped-length	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-count	0
Primary Assembly	all	all	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	all	all	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	all	all	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	total-length	3435652
Primary Assembly	na	na	unplaced-scaffold	ungapped-length	3422652
Primary Assembly	na	na	unplaced-scaffold	scaffold-count	332
Primary Assembly	na	na	unplaced-scaffold	scaffold-N50	46831
Primary Assembly	na	na	unplaced-scaffold	spanned-gaps	130
Primary Assembly	na	na	unplaced-scaffold	unspanned-gaps	0
Primary Assembly	na	na	unplaced-scaffold	gc-perc	46
Primary Assembly	1	Chromosome	all	total-length	5092470
Primary Assembly	1	Chromosome	all	ungapped-length	5086870
Primary Assembly	1	Chromosome	all	scaffold-count	1
Primary Assembly	1	Chromosome	all	scaffold-N50	5092470
Primary Assembly	1	Chromosome	all	spanned-gaps	56
Primary Assembly	1	Chromosome	all	unspanned-gaps	0
Primary Assembly	1	Chromosome	all	gc-perc	49.5
Primary Assembly	1	Chromosome	assembled-molecule	total-length	5092470
Primary Assembly	1	Chromosome	assembled-molecule	ungapped-length	5086870
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	1	Chromosome	assembled-molecule	scaffold-N50	5092470
Primary Assembly	1	Chromosome	assembled-molecule	spanned-gaps	56
Primary Assembly	1	Chromosome	assembled-molecule	unspanned-gaps	0
Primary Assembly	1	Chromosome	assembled-molecule	gc-perc	49.5
Primary Assembly	1	Chromosome	unlocalized-scaffold	total-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	ungapped-length	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-count	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	scaffold-N50	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	spanned-gaps	0
Primary Assembly	1	Chromosome	unlocalized-scaffold	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	total-length	9205284
Primary Assembly	2	Chromosome	all	ungapped-length	9196884
Primary Assembly	2	Chromosome	all	scaffold-count	1
Primary Assembly	2	Chromosome	all	scaffold-N50	9205284
Primary Assembly	2	Chromosome	all	spanned-gaps	84
Primary Assembly	2	Chromosome	all	unspanned-gaps	0
Primary Assembly	2	Chromosome	all	gc-perc	50
Primary Assembly	2	Chromosome	assembled-molecule	total-length	9205284
Primary Assembly	2	Chromosome	assembled-molecule	ungapped-length	9196884
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-count	1
Primary Assembly	2	Chromosome	assembled-molecule	scaffold-N50	9205284
Primary Assembly	2	Chromosome	assembled-molecule	spanned-gaps	84
Primary Assembly	2	Chromosome	assembled-molecule	unspanned-gaps	0
