# Assembly name:  BCSIR_ Awel_1.0
# Organism name:  Aspergillus welwitschiae (ascomycete fungi)
# Infraspecific name:  strain=BCSIR_imrd1
# Taxid:          1341132
# BioSample:      SAMN32866809
# BioProject:     PRJNA926321
# Submitter:      Bangladesh Council of Scientific and Industrial Research (BCSIR)
# Date:           2023-05-16
# Assembly type:  haploid
# Release type:   major
# Assembly level: Chromosome
# Genome representation: full
# WGS project:    JARFXW01
# Assembly method: MaSuRCA v. 4.0.8
# Expected final version: yes
# Genome coverage: 90.0x
# Sequencing technology: Illumina NextSeq
# GenBank assembly accession: GCA_030015405.1
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_030015505.1		Primary Assembly
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
Chr1	assembled-molecule	1	Chromosome	CM057397.1	<>	na	Primary Assembly	5092470	na
Chr2	assembled-molecule	2	Chromosome	CM057398.1	<>	na	Primary Assembly	9205284	na
Chr3	assembled-molecule	3	Chromosome	CM057399.1	<>	na	Primary Assembly	4829436	na
Chr4	assembled-molecule	4	Chromosome	CM057400.1	<>	na	Primary Assembly	2849274	na
Chr5	assembled-molecule	5	Chromosome	CM057401.1	<>	na	Primary Assembly	5291177	na
Chr6	assembled-molecule	6	Chromosome	CM057402.1	<>	na	Primary Assembly	4333929	na
Chr7	assembled-molecule	7	Chromosome	CM057403.1	<>	na	Primary Assembly	1526894	na
Chr8	assembled-molecule	8	Chromosome	CM057404.1	<>	na	Primary Assembly	1231058	na
seq_10	unplaced-scaffold	na	na	JARFXW010000011.1	<>	na	Primary Assembly	60742	na
seq_100	unplaced-scaffold	na	na	JARFXW010000101.1	<>	na	Primary Assembly	8070	na
seq_101	unplaced-scaffold	na	na	JARFXW010000102.1	<>	na	Primary Assembly	1615	na
seq_102	unplaced-scaffold	na	na	JARFXW010000103.1	<>	na	Primary Assembly	1938	na
seq_103	unplaced-scaffold	na	na	JARFXW010000104.1	<>	na	Primary Assembly	1964	na
seq_104	unplaced-scaffold	na	na	JARFXW010000105.1	<>	na	Primary Assembly	1289	na
seq_105	unplaced-scaffold	na	na	JARFXW010000106.1	<>	na	Primary Assembly	1038	na
seq_106	unplaced-scaffold	na	na	JARFXW010000107.1	<>	na	Primary Assembly	2449	na
seq_107	unplaced-scaffold	na	na	JARFXW010000108.1	<>	na	Primary Assembly	3178	na
seq_108	unplaced-scaffold	na	na	JARFXW010000109.1	<>	na	Primary Assembly	6189	na
seq_109	unplaced-scaffold	na	na	JARFXW010000110.1	<>	na	Primary Assembly	1259	na
seq_11	unplaced-scaffold	na	na	JARFXW010000012.1	<>	na	Primary Assembly	108798	na
seq_110	unplaced-scaffold	na	na	JARFXW010000111.1	<>	na	Primary Assembly	1484	na
seq_111	unplaced-scaffold	na	na	JARFXW010000112.1	<>	na	Primary Assembly	1100	na
seq_112	unplaced-scaffold	na	na	JARFXW010000113.1	<>	na	Primary Assembly	2105	na
seq_113	unplaced-scaffold	na	na	JARFXW010000114.1	<>	na	Primary Assembly	15980	na
seq_114	unplaced-scaffold	na	na	JARFXW010000115.1	<>	na	Primary Assembly	1611	na
seq_115	unplaced-scaffold	na	na	JARFXW010000116.1	<>	na	Primary Assembly	1324	na
seq_116	unplaced-scaffold	na	na	JARFXW010000117.1	<>	na	Primary Assembly	1605	na
seq_117	unplaced-scaffold	na	na	JARFXW010000118.1	<>	na	Primary Assembly	1221	na
seq_118	unplaced-scaffold	na	na	JARFXW010000119.1	<>	na	Primary Assembly	1026	na
seq_119	unplaced-scaffold	na	na	JARFXW010000120.1	<>	na	Primary Assembly	1013	na
seq_12	unplaced-scaffold	na	na	JARFXW010000013.1	<>	na	Primary Assembly	34799	na
seq_120	unplaced-scaffold	na	na	JARFXW010000121.1	<>	na	Primary Assembly	437	na
seq_121	unplaced-scaffold	na	na	JARFXW010000122.1	<>	na	Primary Assembly	25936	na
seq_122	unplaced-scaffold	na	na	JARFXW010000123.1	<>	na	Primary Assembly	3533	na
seq_123	unplaced-scaffold	na	na	JARFXW010000124.1	<>	na	Primary Assembly	7660	na
seq_124	unplaced-scaffold	na	na	JARFXW010000125.1	<>	na	Primary Assembly	1668	na
seq_125	unplaced-scaffold	na	na	JARFXW010000126.1	<>	na	Primary Assembly	2640	na
seq_126	unplaced-scaffold	na	na	JARFXW010000127.1	<>	na	Primary Assembly	1135	na
seq_127	unplaced-scaffold	na	na	JARFXW010000128.1	<>	na	Primary Assembly	2006	na
seq_128	unplaced-scaffold	na	na	JARFXW010000129.1	<>	na	Primary Assembly	1120	na
seq_129	unplaced-scaffold	na	na	JARFXW010000130.1	<>	na	Primary Assembly	2661	na
seq_13	unplaced-scaffold	na	na	JARFXW010000014.1	<>	na	Primary Assembly	25664	na
seq_130	unplaced-scaffold	na	na	JARFXW010000131.1	<>	na	Primary Assembly	5566	na
seq_131	unplaced-scaffold	na	na	JARFXW010000132.1	<>	na	Primary Assembly	1738	na
seq_132	unplaced-scaffold	na	na	JARFXW010000133.1	<>	na	Primary Assembly	1871	na
seq_133	unplaced-scaffold	na	na	JARFXW010000134.1	<>	na	Primary Assembly	3445	na
seq_134	unplaced-scaffold	na	na	JARFXW010000135.1	<>	na	Primary Assembly	6758	na
seq_135	unplaced-scaffold	na	na	JARFXW010000136.1	<>	na	Primary Assembly	1090	na
seq_136	unplaced-scaffold	na	na	JARFXW010000137.1	<>	na	Primary Assembly	1642	na
seq_137	unplaced-scaffold	na	na	JARFXW010000138.1	<>	na	Primary Assembly	3432	na
seq_138	unplaced-scaffold	na	na	JARFXW010000139.1	<>	na	Primary Assembly	1719	na
seq_139	unplaced-scaffold	na	na	JARFXW010000140.1	<>	na	Primary Assembly	1643	na
