qseqid	sseqid	evalue	bitscore	qstart	qend	sstart	send	pident	qcov	scov
CM057397.1.g1.t1	5061.CADANGAP00013803	3.2e-83	246.0	1	124	1	124	100.0	100.0	100.0
CM057397.1.g2.t1	40384.G7X947	7.81e-276	757.0	1	410	19	428	97.6	100.0	95.8
CM057397.1.g3.t1	40384.G7X945	0.0	2684.0	1	1392	1	1392	98.0	100.0	100.0
CM057397.1.g4.t1	5061.CADANGAP00013799	0.0	1061.0	1	610	1	609	99.5	100.0	100.0
CM057397.1.g5.t1	40384.G7X943	1.82e-226	624.0	1	319	1	319	100.0	100.0	100.0
CM057397.1.g6.t1	5061.CADANGAP00013797	3.52e-274	750.0	1	382	1	382	99.5	100.0	100.0
CM057397.1.g7.t1	5061.CADANGAP00013796	0.0	1134.0	1	572	108	679	99.8	100.0	84.2
CM057397.1.g8.t1	5061.CADANGAP00013795	7.57e-100	290.0	1	147	1	148	98.0	100.0	100.0
CM057397.1.g9.t1	5061.CADANGAP00013794	3.62e-100	290.0	1	147	1	147	100.0	100.0	100.0
CM057397.1.g10.t1	5061.CADANGAP00013793	0.0	1335.0	72	737	1	666	99.1	90.4	100.0
CM057397.1.g11.t1	5061.CADANGAP00013792	0.0	1097.0	1	554	55	608	100.0	100.0	91.1
CM057397.1.g12.t1	40384.G7XVX7	7.03e-207	589.0	1	377	1	378	77.8	72.4	81.1
CM057397.1.g13.t1	37727.XP_002145630.1	4.53e-126	381.0	3	279	179	463	69.7	95.2	42.5
CM057397.1.g14.t1	5061.CADANGAP00008084	5.52e-256	711.0	164	539	1	376	95.7	68.2	99.5
CM057397.1.g15.t1	5059.CADAFLAP00010897	4.66e-148	431.0	1	354	1	414	54.6	99.2	99.3
CM057397.1.g16.t1	5061.CADANGAP00008088	4.08e-312	853.0	5	441	51	487	95.4	99.1	89.7
CM057397.1.g17.t1	5061.CADANGAP00008090	5.39e-227	627.0	1	335	1	335	94.3	100.0	100.0
CM057397.1.g18.t1	5061.CADANGAP00008092	3.91e-125	357.0	1	173	1	173	98.3	97.2	89.2
CM057397.1.g19.t1	5061.CADANGAP00008093	0.0	1011.0	1	615	274	834	87.2	100.0	67.3
CM057397.1.g20.t1	5061.CADANGAP00008094	0.0	996.0	294	779	52	537	98.1	62.4	90.5
CM057397.1.g21.t1	5061.CADANGAP00008096	5.22e-151	427.0	1	215	68	282	99.1	100.0	76.2
CM057397.1.g22.t1	5061.CADANGAP00008097	0.0	3435.0	9	1787	1	1779	98.9	99.6	100.0
CM057397.1.g23.t1	5061.CADANGAP00008098	0.0	1008.0	1	517	1	508	97.3	100.0	100.0
CM057397.1.g24.t1	1108849.XP_002560458.1	5.65e-176	506.0	16	445	8	429	59.5	96.2	97.9
CM057397.1.g25.t1	5061.CADANGAP00008100	4.33e-235	647.0	1	330	1	330	98.5	100.0	100.0
CM057397.1.g26.t1	5061.CADANGAP00008101	2.06e-185	515.0	1	257	1	257	96.5	100.0	100.0
CM057397.1.g27.t1	5061.CADANGAP00008102	0.0	954.0	1	506	1	506	99.2	96.6	91.5
CM057397.1.g29.t1	5061.CADANGAP00008104	2.81e-231	635.0	1	312	1	312	97.1	100.0	100.0
CM057397.1.g30.t1	5061.CADANGAP00008105	8.51e-277	758.0	1	411	1	396	93.8	100.0	100.0
CM057397.1.g31.t1	5061.CADANGAP00008106	2.3e-253	701.0	1	406	1	456	77.6	100.0	100.0
CM057397.1.g32.t1	40384.G7XY37	0.0	1253.0	10	661	1	652	97.1	98.6	100.0
CM057397.1.g34.t1	5061.CADANGAP00008111	0.0	1545.0	1	790	1	790	95.2	100.0	100.0
CM057397.1.g35.t1	40384.G7XY40	0.0	1016.0	1	535	1	535	95.7	100.0	100.0
CM057397.1.g36.t1	5061.CADANGAP00008113	0.0	1208.0	1	600	1	600	99.5	100.0	100.0
CM057397.1.g37.t1	5061.CADANGAP00008114	1.06e-177	494.0	1	246	1	246	98.8	100.0	100.0
CM057397.1.g38.t1	5061.CADANGAP00008115	1.32e-224	620.0	1	329	1	329	99.7	100.0	100.0
CM057397.1.g39.t1	5061.CADANGAP00008116	7.38e-186	523.0	1	294	75	400	87.4	100.0	81.5
CM057397.1.g40.t1	40384.G7XY45	0.0	967.0	530	1029	19	559	90.6	48.6	96.8
CM057397.1.g41.t1	5061.CADANGAP00008119	0.0	1388.0	1	734	67	800	99.6	100.0	91.8
CM057397.1.g43.t1	40384.G7XY49	0.0	1392.0	1	770	1	773	94.4	82.7	82.9
CM057397.1.g44.t1	5061.CADANGAP00008122	7.36e-294	806.0	1	458	1	458	99.8	100.0	100.0
CM057397.1.g45.t1	5057.CADACLAP00005130	2.11e-88	268.0	1	233	1	230	59.3	98.7	99.1
CM057397.1.g46.t1	5061.CADANGAP00008123	5.17e-129	385.0	1	241	152	445	68.0	99.6	45.5
CM057397.1.g47.t1	40384.G7XY52	3.83e-58	197.0	1	294	1	366	74.1	100.0	100.0
CM057397.1.g48.t1	40384.G7XY54	4.72e-260	717.0	1	419	1	424	90.1	100.0	100.0
CM057397.1.g49.t1	5061.CADANGAP00008128	0.0	949.0	1	460	39	498	100.0	100.0	92.4
CM057397.1.g50.t1	5061.CADANGAP00008129	0.0	1286.0	1	728	1	723	97.0	100.0	100.0
CM057397.1.g51.t1	40384.G7XY57	0.0	984.0	1	552	1	552	96.0	100.0	100.0
CM057397.1.g52.t1	40384.G7XY58	2.47e-134	390.0	1	304	1	307	78.8	100.0	100.0
CM057397.1.g53.t1	5061.CADANGAP00008132	0.0	1689.0	1	993	1	993	100.0	100.0	100.0
CM057397.1.g54.t1	40384.G7XY60	2.6e-54	170.0	1	88	1	88	100.0	100.0	100.0
CM057397.1.g55.t1	5061.CADANGAP00008134	1.15e-282	771.0	1	379	1	379	100.0	100.0	100.0
CM057397.1.g56.t1	40384.G7XY62	6.71e-247	680.0	1	367	1	370	94.1	100.0	100.0
CM057397.1.g57.t1	5061.CADANGAP00008136	0.0	1053.0	1	533	1	533	100.0	100.0	100.0
CM057397.1.g58.t1	5061.CADANGAP00008137	0.0	1391.0	1	762	35	804	98.6	100.0	95.8
CM057397.1.g60.t1	40384.G7XY66	1.17e-129	368.0	1	186	1	186	95.7	99.5	99.5
CM057397.1.g61.t1	5061.CADANGAP00008140	2.14e-201	561.0	1	286	75	360	97.9	100.0	79.4
CM057397.1.g63.t1	5061.CADANGAP00008143	0.0	1644.0	28	935	1	1002	84.5	97.1	99.8
CM057397.1.g64.t1	40384.G7XY69	1.56e-255	701.0	1	361	1	361	93.6	100.0	100.0
CM057397.1.g65.t1	5061.CADANGAP00008146	0.0	3096.0	5	1617	1	1613	97.8	99.8	100.0
CM057397.1.g66.t1	5061.CADANGAP00008148	0.0	3915.0	51	2080	41	2080	97.4	97.4	97.3
CM057397.1.g67.t1	5061.CADANGAP00008149	0.0	931.0	1	458	68	525	98.7	100.0	87.2
CM057397.1.g68.t1	5061.CADANGAP00008150	1.34e-222	614.0	1	308	1	308	94.2	99.7	95.1
CM057397.1.g69.t1	5059.CADAFLAP00007950	1.14e-116	335.0	10	191	1	183	85.2	94.8	100.0
CM057397.1.g70.t1	5059.CADAFLAP00007951	4.85e-212	588.0	2	327	1	326	89.9	99.7	100.0
CM057397.1.g71.t1	64363.EME39161	2.81e-184	523.0	16	381	22	387	66.9	95.1	93.4
